epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
2025-01-01T00:00:00.000000Z,8555654.492884595,1330834.6705110653,-3656438.206256486,-3749.4696872945856,1861.882925827764,-3401.3624402527676
2025-01-01T00:00:01.000000Z,8552097.12897182,1331448.7202947126,-3659838.6905849054,-3753.531839657955,1861.2507795860247,-3399.6057736577136
2025-01-01T00:00:02.000000Z,8548529.62845244,1332061.6953929637,-3663234.7732683658,-3757.595592272931,1860.6160645813984,-3397.842451810888
2025-01-01T00:00:03.000000Z,8544962.262825996,1332675.1978571562,-3666630.855951826,-3761.659457393273,1859.981952145897,-3396.079129964062
2025-01-01T00:00:04.000000Z,8541395.032150421,1333289.2276708754,-3670026.9386352864,-3765.723434952707,1859.3484422925496,-3394.315808117236
2025-01-01T00:00:05.000000Z,8537827.936483666,1333903.7848177007,-3673423.0213187463,-3769.787524884964,1858.7155350343824,-3392.5524862704106
2025-01-01T00:00:06.000000Z,8534219.842184985,1334512.4108136084,-3676801.31006339,-3773.8577155318385,1858.0704667357209,-3390.7623299299808
2025-01-01T00:00:07.000000Z,8530611.882069293,1335121.570108833,-3680179.598808034,-3777.9280202804343,1857.4260019317005,-3388.9721735895505
2025-01-01T00:00:08.000000Z,8527004.056195183,1335731.2626870384,-3683557.8875526777,-3781.998439064377,1856.7821406355304,-3387.182017249121
2025-01-01T00:00:09.000000Z,8523396.364621243,1336341.4885318845,-3686936.1762973214,-3786.068971817294,1856.1388828604145,-3385.3918609086913
2025-01-01T00:00:10.000000Z,8519788.80740606,1336952.247627026,-3690314.465041965,-3790.139618472809,1855.4962286195464,-3383.601704568261
2025-01-01T00:00:11.000000Z,8516181.384608226,1337563.53995611,-3693692.7537866086,-3794.21037896455,1854.854177926118,-3381.8115482278313
2025-01-01T00:00:12.000000Z,8512574.09628632,1338175.3655027803,-3697071.042531253,-3798.281253226134,1854.2127307933115,-3380.0213918874015
2025-01-01T00:00:13.000000Z,8508966.94249892,1338787.7242506726,-3700449.331275896,-3802.352241191186,1853.5718872343032,-3378.2312355469717
2025-01-01T00:00:14.000000Z,8505359.923304617,1339400.6161834188,-3703827.620020539,-3806.423342793324,1852.9316472622645,-3376.441079206542
2025-01-01T00:00:15.000000Z,8501753.038761986,1340014.041284644,-3707205.9087651833,-3810.494557966168,1852.2920108903588,-3374.650922866112
2025-01-01T00:00:16.000000Z,8498146.288929608,1340627.999537968,-3710584.197509827,-3814.565886643334,1851.652978131743,-3372.8607665256823
2025-01-01T00:00:17.000000Z,8494539.673866048,1341242.4909270045,-3713962.4862544704,-3818.637328758439,1851.014548999568,-3371.070610185252
2025-01-01T00:00:18.000000Z,8490933.193629894,1341857.5154353618,-3717340.774999114,-3822.708884245097,1850.376723506979,-3369.2804538448227
2025-01-01T00:00:19.000000Z,8487326.848279716,1342473.0730466426,-3720719.063743758,-3826.7805530369214,1849.7395016671123,-3367.490297504393
2025-01-01T00:00:20.000000Z,8483720.637874076,1343089.1637444445,-3724097.352488402,-3830.852335067524,1849.102883493101,-3365.7001411639626
2025-01-01T00:00:21.000000Z,8480114.562471554,1343705.7875123576,-3727475.641233045,-3834.924230270517,1848.4668689980688,-3363.909984823533
